question,answer
"What is your return policy?","You can return eligible products within 30 days of delivery. The item should be unused and in its original condition."
"How can I track my order?","Open your Orders page to view the latest tracking details."
"How do I cancel my order?","You can cancel an order before it is shipped from the order details page."
"How can I reset my password?","Select Forgot Password on the login page and follow the reset link."
"What payment methods are accepted?","Common options include credit cards, debit cards, UPI and online banking."
"How long does delivery take?","Standard delivery usually takes 3 to 7 business days, depending on the destination."
"Can I change my delivery address?","If the order has not shipped, contact customer support as soon as possible."
"How can I contact customer support?","Use the Help or Contact Us section to contact customer support."
"Can I get a refund?","Eligible returned or cancelled orders can be refunded according to the applicable refund policy."
"Why is my payment failing?","Check your payment details, balance, bank restrictions and internet connection, or try another payment method."
"What should I do if my order arrives damaged?","Take photos of the damaged package or product and contact customer support with your order details."
"What should I do if I receive the wrong product?","Contact support with your order number and photos of the received product."
"Can I exchange a product?","Eligible products can be exchanged according to the applicable exchange policy."
"How do I change my password?","Open Account Settings, choose Change Password, and save the new password."
"Why has my order not shipped yet?","Check your order status. Processing may take longer because of stock, verification, weekends or holidays."
"What is an FAQ chatbot?","An FAQ chatbot matches a user's question with the most relevant stored FAQ and returns its answer."
"How does this chatbot find an answer?","It converts FAQ questions into TF-IDF vectors and uses cosine similarity to find the closest match."
"What is TF-IDF?","TF-IDF is a text representation technique that assigns importance to words based on their frequency."
"What is cosine similarity?","Cosine similarity measures how similar two text vectors are by comparing their direction."
